Algorithm,Variant,Iteration,BestTrainMakespan
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),13,413.82089552238807
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),14,407.55223880597015
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),15,402.1940298507463
HEFT,Original Algo + BO,1,404.8955223880597
HEFT,Original Algo + BO,2,404.8955223880597
HEFT,Original Algo + BO,3,404.8955223880597
HEFT,Original Algo + BO,4,404.8955223880597
HEFT,Original Algo + BO,5,404.8955223880597
HEFT,Original Algo + BO,6,404.8955223880597
HEFT,Original Algo + BO,7,404.8955223880597
HEFT,Original Algo + BO,8,404.8955223880597
HEFT,Original Algo + BO,9,404.8955223880597
HEFT,Original Algo + BO,10,404.8955223880597
HEFT,Original Algo + BO,11,404.8955223880597
HEFT,Original Algo + BO,12,404.8955223880597
HEFT,Original Algo + BO,13,404.8955223880597
HEFT,Original Algo + BO,14,404.8955223880597
HEFT,Original Algo + BO,15,404.8955223880597
HEFT,Original Algo + Motifs + BO,1,415.0
HEFT,Original Algo + Motifs + BO,2,415.0
HEFT,Original Algo + Motifs + BO,3,415.0
HEFT,Original Algo + Motifs + BO,4,415.0
HEFT,Original Algo + Motifs + BO,5,415.0
HEFT,Original Algo + Motifs + BO,6,415.0
HEFT,Original Algo + Motifs + BO,7,415.0
HEFT,Original Algo + Motifs + BO,8,415.0
HEFT,Original Algo + Motifs + BO,9,415.0
HEFT,Original Algo + Motifs + BO,10,415.0
HEFT,Original Algo + Motifs + BO,11,415.0
HEFT,Original Algo + Motifs + BO,12,403.17910447761193
HEFT,Original Algo + Motifs + BO,13,403.17910447761193
HEFT,Original Algo + Motifs + BO,14,403.17910447761193
HEFT,Original Algo + Motifs + BO,15,403.17910447761193
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),1,430.55223880597015
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
HEFT,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
