iter,warm_start_best,cold_start_best
1,,184.67857142857142
2,,184.67857142857142
3,,184.67857142857142
4,,162.67857142857142
5,,162.67857142857142
6,,162.67857142857142
7,,162.67857142857142
8,,162.67857142857142
9,,162.67857142857142
10,,162.67857142857142
11,,159.60714285714286
12,,159.17857142857142
13,,159.17857142857142
14,,159.17857142857142
15,,159.17857142857142
16,,159.17857142857142
17,,159.17857142857142
18,,159.17857142857142
19,,159.17857142857142
20,,157.71428571428572
21,,157.71428571428572
22,,157.71428571428572
23,,157.60714285714286
24,,157.60714285714286
25,,157.60714285714286
26,,157.60714285714286
27,,154.67857142857142
28,,154.57142857142858
29,,154.57142857142858
30,,154.57142857142858
