method,family,nodes,edges,makespan,slr,runtime_ms,motifs
PEFT,ER,50,107,254.0,1.4767441860465116,2.246379852294922,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
HOFT,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
HOFT,ER,30,25,111.0,1.9137931034482758,8.669376373291016,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
HOFT,ER,50,118,267.0,1.3692307692307693,10.281562805175781,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
HOFT,ER,20,16,88.0,1.2941176470588236,1.6205310821533203,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
HOFT,ER,30,59,146.0,1.3035714285714286,3.8836002349853516,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
HOFT,BA,50,85,207.0,1.4892086330935252,6.288051605224609,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
HOFT,WS,30,44,146.0,1.4038461538461537,8.109569549560547,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
HOFT,BA,30,45,239.0,1.1435406698564594,2.3784637451171875,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
HOFT,WS,30,40,118.0,1.4390243902439024,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
HOFT,BA,50,82,247.0,1.5153374233128833,10.250568389892578,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
HOFT,ER,50,107,204.0,1.4166666666666667,8.764028549194336,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
HOFT,ER,50,107,267.0,1.552325581395349,1.6422271728515625,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
BO-Cold-Heuristic,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,30,25,103.0,1.7758620689655173,8.118867874145508,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,50,118,248.0,1.2717948717948717,2.115964889526367,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
BO-Cold-Heuristic,ER,20,16,84.0,1.2352941176470589,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,30,59,148.0,1.3214285714285714,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
BO-Cold-Heuristic,BA,50,85,215.0,1.5467625899280575,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
