Algorithm,Original Algo,Original Algo + Motifs,Original Algo + BO,Original Algo + Motifs + BO,Original Algo + Configs + BO (LLM for Weight Generation)
GNN,325.2,325.8,330.4,320.1,316.2
Greedy-EFT,362.5,354.3,332.9,316.8,314.7
HEFT,317.1,319.4,317.1,317.4,314.7
HOFT,323.9,321.6,315.0,318.0,314.7
CPOP,338.2,330.2,323.0,319.4,319.5
PEFT,329.5,325.7,315.4,320.6,319.5
Decima,333.9,327.9,331.6,316.4,319.5
LLM,323.0,325.0,331.6,315.4,319.5
