dag_id,method,family,nodes,edges,makespan,critical_path_lb,combined_lb,slr,gap_to_lb_percent,runtime_ms,actual_inner_method,improvement_vs_heft_percent
0,HEFT,BA,80,79,339.0,104.0,249.0,3.2596153846153846,26.548672566371685,11.540412902832031,HEFT,0.0
1,HEFT,BA,50,49,267.0,91.0,142.25,2.934065934065934,46.72284644194756,3.1290054321289062,HEFT,0.0
2,HEFT,WS,80,155,550.0,166.0,259.5,3.3132530120481927,52.81818181818182,5.03993034362793,HEFT,0.0
3,HEFT,ER,20,19,158.0,106.0,106.0,1.490566037735849,32.91139240506329,2.5856494903564453,HEFT,0.0
4,HEFT,ER,20,22,128.0,65.0,73.5,1.9692307692307693,42.578125,0.8177757263183594,HEFT,0.0
5,HEFT,ER,80,292,601.0,209.0,249.25,2.875598086124402,58.52745424292846,0.0,HEFT,0.0
6,HEFT,WS,30,46,368.0,138.0,138.0,2.6666666666666665,62.5,0.0,HEFT,0.0
7,HEFT,ER,80,268,567.0,230.0,257.75,2.465217391304348,54.54144620811287,0.0,HEFT,0.0
8,HEFT,MOTIF_FORK,15,14,108.0,38.0,38.0,2.8421052631578947,64.81481481481481,0.0,HEFT,0.0
9,HEFT,ER,50,150,446.0,214.0,214.0,2.0841121495327104,52.01793721973094,0.0,HEFT,0.0
10,HEFT,ER,80,144,417.0,108.0,266.5,3.861111111111111,36.09112709832134,11.256933212280273,HEFT,0.0
11,HEFT,WS,80,126,442.0,180.0,230.0,2.4555555555555557,47.963800904977376,1.0771751403808594,HEFT,0.0
12,HEFT,WS,80,160,451.0,158.0,258.5,2.8544303797468356,42.68292682926829,7.936000823974609,HEFT,0.0
13,HEFT,BA,30,45,359.0,208.0,208.0,1.7259615384615385,42.061281337047355,0.5018711090087891,HEFT,0.0
0,CPOP,BA,80,79,414.0,104.0,249.0,3.980769230769231,39.85507246376812,1.5215873718261719,CPOP,-22.123893805309734
1,CPOP,BA,50,49,297.0,91.0,142.25,3.2637362637362637,52.10437710437711,5.247592926025391,CPOP,-11.235955056179774
2,CPOP,WS,80,155,717.0,166.0,259.5,4.319277108433735,63.80753138075313,3.0586719512939453,CPOP,-30.363636363636363
3,CPOP,ER,20,19,178.0,106.0,106.0,1.679245283018868,40.44943820224719,2.0482540130615234,CPOP,-12.658227848101266
