Algorithm,Original Algo,Original Algo + Motifs,Original Algo + BO,Original Algo + Motifs + BO,Original Algo + Configs + BO (LLM for Weight Generation)
GNN,362.14,368.59,352.83,354.41,352.48
Greedy-EFT,389.17,386.66,351.52,364.72,352.48
HEFT,352.14,363.69,352.14,353.41,352.48
HOFT,360.93,366.41,354.34,359.55,362.0
CPOP,376.41,371.31,352.28,367.34,352.48
PEFT,366.17,370.24,351.24,356.07,352.48
Decima,366.45,372.48,352.93,366.28,352.48
LLM,361.66,368.52,353.97,357.93,356.9
